Maximum fit for each generation: 
Best fit for generation 955: 608
Best fit for generation 956: 608
Best fit for generation 957: 608
Best fit for generation 958: 608
Best fit for generation 959: 608
Best fit for generation 960: 608
Best fit for generation 961: 608
Best fit for generation 962: 608
Best fit for generation 963: 608
Best fit for generation 964: 608
Best fit for generation 965: 608
Best fit for generation 966: 608
Best fit for generation 967: 608
Best fit for generation 968: 608
Best fit for generation 969: 608
Best fit for generation 970: 608
Best fit for generation 971: 608
Best fit for generation 972: 608
Best fit for generation 973: 608
Best fit for generation 974: 608
Best fit for generation 975: 608
Best fit for generation 976: 608
Best fit for generation 977: 608
Best fit for generation 978: 608
Best fit for generation 979: 608
Best fit for generation 980: 608
Best fit for generation 981: 608
Best fit for generation 982: 608
Best fit for generation 983: 608
Best fit for generation 984: 608
Best fit for generation 985: 608
Best fit for generation 986: 608
Best fit for generation 987: 608
Best fit for generation 988: 608
Best fit for generation 989: 608
Best fit for generation 990: 608
Best fit for generation 991: 608
Best fit for generation 992: 608
Best fit for generation 993: 608
Best fit for generation 994: 608
Best fit for generation 995: 608
Best fit for generation 996: 608
Best fit for generation 997: 608
Best fit for generation 998: 608
Best fit for generation 999: 608
Best fit for generation 1000: 608
Best fit for generation 1001: 608
Best fit for generation 1002: 608
Best fit for generation 1003: 608
Best fit for generation 1004: 608
Best fit for generation 1005: 608
Best fit for generation 1006: 608
Best fit for generation 1007: 608
Best fit for generation 1008: 608
Best fit for generation 1009: 608
Best fit for generation 1010: 608
Best fit for generation 1011: 608
Best fit for generation 1012: 608
Best fit for generation 1013: 608
Best fit for generation 1014: 608
Best fit for generation 1015: 608
Best fit for generation 1016: 608
Best fit for generation 1017: 608
Best fit for generation 1018: 608
Best fit for generation 1019: 608
Best fit for generation 1020: 608
Best fit for generation 1021: 608
Best fit for generation 1022: 608
Best fit for generation 1023: 608
Best fit for generation 1024: 608
Best fit for generation 1025: 608
Best fit for generation 1026: 608
Best fit for generation 1027: 608
Best fit for generation 1028: 608
Best fit for generation 1029: 608
Best fit for generation 1030: 608
Best fit for generation 1031: 608
Best fit for generation 1032: 608
Best fit for generation 1033: 608
Best fit for generation 1034: 608
Best fit for generation 1035: 608
Best fit for generation 1036: 608
Best fit for generation 1037: 608
Best fit for generation 1038: 608
Best fit for generation 1039: 608
Best fit for generation 1040: 608
Best fit for generation 1041: 608
Best fit for generation 1042: 608
Best fit for generation 1043: 608
Best fit for generation 1044: 608
Best fit for generation 1045: 608
Best fit for generation 1046: 608
Best fit for generation 1047: 608
Best fit for generation 1048: 608
Best fit for generation 1049: 608
Best fit for generation 1050: 608
Best fit for generation 1051: 608
Best fit for generation 1052: 608
Best fit for generation 1053: 608
Best fit for generation 1054: 608
Best fit for generation 1055: 608
Best fit for generation 1056: 608
Best fit for generation 1057: 608
Best fit for generation 1058: 608
Best fit for generation 1059: 608
Best fit for generation 1060: 608
Best fit for generation 1061: 608
Best fit for generation 1062: 608
Best fit for generation 1063: 608
Best fit for generation 1064: 608
