Maximum fit for each generation: 
Best fit for generation 431: 477
Best fit for generation 432: 477
Best fit for generation 433: 477
Best fit for generation 434: 477
Best fit for generation 435: 477
Best fit for generation 436: 477
Best fit for generation 437: 477
Best fit for generation 438: 477
Best fit for generation 439: 477
Best fit for generation 440: 477
Best fit for generation 441: 477
Best fit for generation 442: 477
Best fit for generation 443: 477
Best fit for generation 444: 477
Best fit for generation 445: 477
Best fit for generation 446: 477
Best fit for generation 447: 477
Best fit for generation 448: 477
Best fit for generation 449: 477
Best fit for generation 450: 477
Best fit for generation 451: 477
Best fit for generation 452: 477
Best fit for generation 453: 477
Best fit for generation 454: 477
Best fit for generation 455: 477
Best fit for generation 456: 477
Best fit for generation 457: 477
Best fit for generation 458: 477
Best fit for generation 459: 477
Best fit for generation 460: 477
Best fit for generation 461: 477
Best fit for generation 462: 477
Best fit for generation 463: 477
Best fit for generation 464: 477
Best fit for generation 465: 477
Best fit for generation 466: 477
Best fit for generation 467: 477
Best fit for generation 468: 477
Best fit for generation 469: 477
Best fit for generation 470: 477
Best fit for generation 471: 477
Best fit for generation 472: 477
Best fit for generation 473: 477
Best fit for generation 474: 477
Best fit for generation 475: 477
Best fit for generation 476: 477
Best fit for generation 477: 477
Best fit for generation 478: 477
Best fit for generation 479: 477
Best fit for generation 480: 477
Best fit for generation 481: 477
Best fit for generation 482: 477
Best fit for generation 483: 477
Best fit for generation 484: 477
Best fit for generation 485: 477
Best fit for generation 486: 477
Best fit for generation 487: 477
Best fit for generation 488: 477
Best fit for generation 489: 477
Best fit for generation 490: 477
Best fit for generation 491: 477
Best fit for generation 492: 477
Best fit for generation 493: 477
Best fit for generation 494: 477
Best fit for generation 495: 477
Best fit for generation 496: 477
Best fit for generation 497: 477
Best fit for generation 498: 477
Best fit for generation 499: 477
Best fit for generation 500: 477
Best fit for generation 501: 477
Best fit for generation 502: 477
Best fit for generation 503: 477
Best fit for generation 504: 477
Best fit for generation 505: 477
Best fit for generation 506: 477
Best fit for generation 507: 477
Best fit for generation 508: 477
Best fit for generation 509: 477
Best fit for generation 510: 477
Best fit for generation 511: 477
