Maximum fit for each generation: 
Best fit for generation 867: 443
Best fit for generation 868: 443
Best fit for generation 869: 443
Best fit for generation 870: 443
Best fit for generation 871: 443
Best fit for generation 872: 443
Best fit for generation 873: 443
Best fit for generation 874: 443
Best fit for generation 875: 443
Best fit for generation 876: 443
Best fit for generation 877: 443
Best fit for generation 878: 443
Best fit for generation 879: 443
Best fit for generation 880: 443
Best fit for generation 881: 443
Best fit for generation 882: 443
Best fit for generation 883: 443
Best fit for generation 884: 443
Best fit for generation 885: 443
Best fit for generation 886: 443
Best fit for generation 887: 443
Best fit for generation 888: 443
Best fit for generation 889: 443
Best fit for generation 890: 443
Best fit for generation 891: 443
Best fit for generation 892: 443
Best fit for generation 893: 443
Best fit for generation 894: 443
Best fit for generation 895: 443
Best fit for generation 896: 443
Best fit for generation 897: 443
Best fit for generation 898: 443
Best fit for generation 899: 443
Best fit for generation 900: 443
Best fit for generation 901: 443
Best fit for generation 902: 443
Best fit for generation 903: 443
Best fit for generation 904: 443
Best fit for generation 905: 443
Best fit for generation 906: 443
Best fit for generation 907: 443
Best fit for generation 908: 443
Best fit for generation 909: 443
Best fit for generation 910: 443
Best fit for generation 911: 443
Best fit for generation 912: 443
Best fit for generation 913: 443
Best fit for generation 914: 443
Best fit for generation 915: 443
Best fit for generation 916: 443
Best fit for generation 917: 443
Best fit for generation 918: 443
Best fit for generation 919: 443
Best fit for generation 920: 443
Best fit for generation 921: 443
Best fit for generation 922: 443
Best fit for generation 923: 443
Best fit for generation 924: 443
Best fit for generation 925: 443
Best fit for generation 926: 443
Best fit for generation 927: 443
Best fit for generation 928: 443
Best fit for generation 929: 443
Best fit for generation 930: 443
Best fit for generation 931: 443
Best fit for generation 932: 443
Best fit for generation 933: 443
Best fit for generation 934: 443
Best fit for generation 935: 443
Best fit for generation 936: 443
Best fit for generation 937: 443
Best fit for generation 938: 443
Best fit for generation 939: 443
Best fit for generation 940: 443
Best fit for generation 941: 443
Best fit for generation 942: 443
Best fit for generation 943: 443
Best fit for generation 944: 443
Best fit for generation 945: 443
Best fit for generation 946: 443
Best fit for generation 947: 443
Best fit for generation 948: 443
Best fit for generation 949: 443
Best fit for generation 950: 443
Best fit for generation 951: 443
Best fit for generation 952: 443
Best fit for generation 953: 443
Best fit for generation 954: 443
Best fit for generation 955: 443
Best fit for generation 956: 443
Best fit for generation 957: 443
Best fit for generation 958: 443
Best fit for generation 959: 443
Best fit for generation 960: 443
Best fit for generation 961: 443
Best fit for generation 962: 443
Best fit for generation 963: 443
Best fit for generation 964: 443
Best fit for generation 965: 443
Best fit for generation 966: 443
Best fit for generation 967: 443
Best fit for generation 968: 443
Best fit for generation 969: 443
Best fit for generation 970: 443
Best fit for generation 971: 443
Best fit for generation 972: 443
Best fit for generation 973: 443
Best fit for generation 974: 443
Best fit for generation 975: 443
Best fit for generation 976: 443
Best fit for generation 977: 443
Best fit for generation 978: 443
Best fit for generation 979: 443
Best fit for generation 980: 443
Best fit for generation 981: 443
Best fit for generation 982: 443
Best fit for generation 983: 443
Best fit for generation 984: 443
Best fit for generation 985: 443
Best fit for generation 986: 443
Best fit for generation 987: 443
Best fit for generation 988: 443
Best fit for generation 989: 443
Best fit for generation 990: 443
Best fit for generation 991: 443
Best fit for generation 992: 443
Best fit for generation 993: 443
Best fit for generation 994: 443
Best fit for generation 995: 443
Best fit for generation 996: 443
Best fit for generation 997: 443
Best fit for generation 998: 443
Best fit for generation 999: 443
Best fit for generation 1000: 443
Best fit for generation 1001: 443
Best fit for generation 1002: 443
Best fit for generation 1003: 443
Best fit for generation 1004: 443
Best fit for generation 1005: 443
Best fit for generation 1006: 443
Best fit for generation 1007: 443
Best fit for generation 1008: 443
Best fit for generation 1009: 443
Best fit for generation 1010: 443
Best fit for generation 1011: 443
Best fit for generation 1012: 443
Best fit for generation 1013: 443
Best fit for generation 1014: 443
Best fit for generation 1015: 443
Best fit for generation 1016: 443
Best fit for generation 1017: 443
Best fit for generation 1018: 443
Best fit for generation 1019: 443
Best fit for generation 1020: 443
Best fit for generation 1021: 443
Best fit for generation 1022: 443
Best fit for generation 1023: 443
Best fit for generation 1024: 443
Best fit for generation 1025: 443
Best fit for generation 1026: 443
Best fit for generation 1027: 443
